product,location,date,day_of_week,month,is_holiday_or_event,temperature_celsius,weather_condition,price,units_sold
Samosa,Prayagraj,2025-09-01,0,9,False,29.9,rain,10,46
Samosa,Prayagraj,2025-09-02,1,9,False,31.8,rain,10,35
Samosa,Prayagraj,2025-09-03,2,9,False,29.4,clear,10,60
Samosa,Prayagraj,2025-09-04,3,9,False,26.4,rain,10,46
Samosa,Prayagraj,2025-09-05,4,9,False,29.2,clear,10,79
Samosa,Prayagraj,2025-09-06,5,9,False,26.4,clear,10,66
Samosa,Prayagraj,2025-09-07,6,9,False,31.6,clear,10,73
Samosa,Prayagraj,2025-09-08,0,9,False,27.0,clear,10,59
Samosa,Prayagraj,2025-09-09,1,9,False,27.7,rain,10,45
Samosa,Prayagraj,2025-09-10,2,9,False,30.1,rain,10,44
Samosa,Prayagraj,2025-09-11,3,9,False,35.4,clear,10,56
Samosa,Prayagraj,2025-09-12,4,9,False,26.6,clear,10,85
Samosa,Prayagraj,2025-09-13,5,9,False,28.7,clear,10,68
Samosa,Prayagraj,2025-09-14,6,9,False,31.0,rain,10,56
Samosa,Prayagraj,2025-09-15,0,9,False,27.0,clear,10,61
Samosa,Prayagraj,2025-09-16,1,9,False,29.7,clear,10,62
Samosa,Prayagraj,2025-09-17,2,9,False,31.0,rain,10,44
Samosa,Prayagraj,2025-09-18,3,9,False,30.9,clear,10,58
Samosa,Prayagraj,2025-09-19,4,9,False,27.6,clear,10,73
Samosa,Prayagraj,2025-09-20,5,9,False,33.5,clear,10,84
Samosa,Prayagraj,2025-09-21,6,9,False,24.0,clear,10,77
Samosa,Prayagraj,2025-09-22,0,9,False,30.8,clear,10,66
Samosa,Prayagraj,2025-09-23,1,9,False,28.0,rain,10,47
Samosa,Prayagraj,2025-09-24,2,9,False,28.4,clear,10,52
Samosa,Prayagraj,2025-09-25,3,9,False,26.2,rain,10,43
Samosa,Prayagraj,2025-09-26,4,9,False,31.1,clear,10,77
Samosa,Prayagraj,2025-09-27,5,9,False,30.9,rain,10,56
Samosa,Prayagraj,2025-09-28,6,9,False,27.0,rain,10,51
Samosa,Prayagraj,2025-09-29,0,9,False,25.4,clear,10,57
Samosa,Prayagraj,2025-09-30,1,9,False,29.0,rain,10,45
Samosa,Prayagraj,2025-10-01,2,10,False,26.7,clear,10,57
Samosa,Prayagraj,2025-10-02,3,10,True,23.7,clear,10,80
Samosa,Prayagraj,2025-10-03,4,10,False,18.7,clear,10,79
Samosa,Prayagraj,2025-10-04,5,10,False,20.4,clear,10,88
Samosa,Prayagraj,2025-10-05,6,10,False,22.6,clear,10,67
Samosa,Prayagraj,2025-10-06,0,10,False,23.2,rain,10,41
Samosa,Prayagraj,2025-10-07,1,10,False,27.4,clear,10,64
Samosa,Prayagraj,2025-10-08,2,10,False,25.0,clear,10,50
Samosa,Prayagraj,2025-10-09,3,10,False,24.3,clear,10,62
Samosa,Prayagraj,2025-10-10,4,10,False,24.1,clear,10,74
Samosa,Prayagraj,2025-10-11,5,10,False,19.9,clear,10,78
Samosa,Prayagraj,2025-10-12,6,10,False,29.4,clear,10,79
Samosa,Prayagraj,2025-10-13,0,10,False,29.9,clear,10,56
Samosa,Prayagraj,2025-10-14,1,10,False,20.3,clear,10,51
Samosa,Prayagraj,2025-10-15,2,10,False,26.5,rain,10,35
Samosa,Prayagraj,2025-10-16,3,10,False,19.9,clear,10,67
Samosa,Prayagraj,2025-10-17,4,10,False,32.0,clear,10,80
Samosa,Prayagraj,2025-10-18,5,10,False,20.0,clear,10,79
Samosa,Prayagraj,2025-10-19,6,10,False,20.7,clear,10,70
Samosa,Prayagraj,2025-10-20,0,10,True,23.4,clear,10,99
Samosa,Prayagraj,2025-10-21,1,10,True,23.4,clear,10,78
Samosa,Prayagraj,2025-10-22,2,10,False,22.1,clear,10,63
Samosa,Prayagraj,2025-10-23,3,10,False,31.1,clear,10,68
Samosa,Prayagraj,2025-10-24,4,10,False,22.0,clear,10,67
Samosa,Prayagraj,2025-10-25,5,10,False,21.1,clear,10,69
Samosa,Prayagraj,2025-10-26,6,10,False,27.4,clear,10,85
Samosa,Prayagraj,2025-10-27,0,10,False,25.5,clear,10,61
Samosa,Prayagraj,2025-10-28,1,10,False,21.4,clear,10,58
